"","Brum.HAP1.GTS","Brum.KBM7.GTS","Weis14.csa.avg","Sabb15.KBM7.cs","Sabb15.K562.cs","Sabb15.Jiyoye.cs","Sabb15.Raji.cs","Sabb17.EOL","Sabb17.HEL","Sabb17.MOLM13","Sabb17.MonoMac1","Sabb17.NB4.rep1","Sabb17.NB4.rep2","Sabb17.OCI.AML2","Sabb17.OCI.AML3","Sabb17.OCI.AML5","Sabb17.P31.FUJ","Sabb17.PL21","Sabb17.SKM1","Sabb17.TF1","Sabb17.THP1","CGC_Tier","TSgene","rank"
"2714",0.513089005,0.470588235,-0.010488459,0.238,0.343,0.049,0.269,0.176,0.193,-0.333,0.034,-0.11,-0.07,0.36,-0.003,0.187,0.023,0.065,0.262,0.114,-0.114,0,0,18346
"2715",0.603174603,0.5,-0.011395721,0.191,0.117,0.219,0.314,-0.419,-0.338,-1.011,0.085,-0.208,-0.179,0.227,-0.315,-0.668,-0.005,0.139,-0.478,0.126,-0.18,0,0,10365
"2716",0.525,0.529411765,-0.010956048,-0.668,-0.515,-0.184,-0.688,-0.903,-0.118,-0.794,-0.286,-0.289,-0.442,-0.721,-0.614,-0.423,-0.301,-0.364,-0.424,-0.261,-0.596,0,0,6289
"2717",0.508108108,0.550505051,0.00265381,0.256,-0.139,0.098,0.217,-0.013,0.118,0.451,0.175,0.19,0.165,0.175,0.275,0.117,0.077,-0.605,-0.052,-0.11,0.372,0,0,3676
"2718",0.499036812,0.496274218,-0.0074223265,-0.835,-0.754,-0.373,-0.399,-0.411,-0.339,-0.108,0.098,-0.146,-0.006,-0.544,-1.085,-0.635,-0.798,-0.685,-0.458,-1.678,-0.391,0,0,2411
"2719",0.498575499,0.515151515,-0.021905788,0.093,0.338,0.15,0.223,0.189,0.158,0.539,0.241,0.059,0.414,0.137,-0.222,0.186,0.171,-0.224,0.218,0.216,0.026,0,0,18341
"2720",0.416666667,0.65,-0.0074223265,0.025,-0.109,0.19,-0.077,0.018,0.08,0.131,-0.19,0.047,-0.484,0.052,-0.314,0.332,-0.007,-0.251,0.115,0.338,0.156,0,0,7711
"2721",0.50678733,0,-0.008276609,0.051,-0.192,-0.184,-0.413,-0.054,-0.07,-0.202,0.237,-0.011,-0.004,0.365,0.41,-0.202,0.357,-0.823,0.224,0.447,-0.222,0,1,5302
"2722",0.272727273,0.333333333,-0.0074223265,0.058,-0.437,0.225,-0.054,-0.013,-0.294,-0.401,-0.113,-0.365,0.069,-0.162,0.092,-0.229,-0.156,-0.555,0.103,-0.593,0.003,0,0,13002
"2723",0.499036812,0.496274218,0.011356504,0.094,0.485,0.133,0.432,-0.001,0.349,0.103,-0.02,0.308,0.008,0.299,-0.008,0.507,0.168,0.099,0.258,0.416,0.095,0,0,3375
"2724",0.499036812,0.496274218,0.015429435,-0.084,-0.193,-0.017,-0.051,-0.234,-0.596,-0.424,-0.379,-0.301,-0.846,-0.375,-0.552,-0.61,-0.459,0.443,-0.413,-0.172,-0.787,0,0,1393
"2725",0.522259454,0.447368421,-0.03464015,0.009,-0.328,0.132,0.095,0.017,0.186,0.081,-0.034,0.263,0.015,-0.18,0.139,0.109,0.061,-0.06,-0.288,-0.077,0.18,0,0,6527
"2726",0.476923077,0.333333333,-0.009076374,-0.037,-0.149,0.072,-0.221,0.295,-0.21,-0.358,-0.378,-0.009,-0.136,-0.67,-0.432,-0.922,-0.049,-0.485,-0.164,-0.602,-0.719,0,0,12411
"2727",0.52955022,0.518867925,0.005232647,-0.212,-0.56,-0.213,-0.022,-0.258,-0.545,-0.858,0.118,-0.764,0.205,-0.002,-0.317,-0.529,-0.092,-0.272,-0.194,-0.797,-0.629,0,0,8517
"2728",0.666666667,0.428571429,0.013356932,0.35,0.118,0.082,0.035,-0.157,-0.166,0.191,-0.126,-0.077,0.44,0.079,0.121,0.279,0.101,-0.289,0.338,0.286,0.14,0,0,6100
"2729",0.492116579,0.493172952,-0.01552472,-0.131,-0.502,-0.12,0.031,-0.359,-0.183,-0.204,-0.119,0.219,-0.192,-0.099,-0.255,-0.351,-0.067,-0.017,0.042,-0.389,-0.355,0,0,17116
"2730",0.433526012,0.382352941,-0.010468593,0.078,-0.105,-0.115,-0.153,-0.009,-0.164,0.377,0.064,-0.076,-0.389,0.15,0.328,-0.018,-0.006,-0.416,0.175,-0.146,0.337,0,0,7984
"2731",0.535433071,0.481481481,0.005581096,-0.038,-0.123,0.332,-0.072,-0.17,-0.119,0.223,-0.168,0.063,0.088,0.072,-0.226,0.201,0.047,0.486,-0.022,-0.21,0.103,0,0,18103
"2732",0.166666667,1,-0.000555462,0.133,0.168,0.431,0.358,-0.458,-0.387,-0.614,-0.342,-0.478,0.029,-0.256,-0.167,-0.246,0.125,-0.05,-0.29,-0.071,0.148,0,0,187
"2733",0.75,0.565656566,0.031674687,0.119,0.447,0.146,-0.005,0.021,-0.125,0.048,0.296,0.093,-0.058,-0.065,-0.168,0.013,-0.134,-0.424,-0.173,-0.099,0.001,0,0,16889
"2734",0.538802661,0.506329114,-0.027680322,-0.062,0.47,0.084,0.185,0.579,0.42,0.273,-0.037,0.171,0.459,0.195,0.359,0.178,0.329,-0.357,0.254,0.114,-0.071,0,0,4766
