,Gene,TS_status,pred_prob
201,TRIM50,0,0.219874098
852,PCOLCE,0,0.219600679
77,PHKG1,0,0.219529491
381,CD36,0,0.218887141
518,RNF216,0,0.218512307
482,PIK3CG,0,0.218356942
613,TMEM209,0,0.218187734
154,LSM8,0,0.218084672
850,ADAM22,0,0.217595419
703,CLDN15,0,0.217501102
15,CLCN1,0,0.217361424
56,HOXA6,0,0.217119731
842,FZD1,0,0.217116982
680,NDUFA5,0,0.216980299
636,COX19,0,0.216746154
324,SPDYE3,0,0.216598292
630,PEX1,0,0.216432834
825,ZNF786,0,0.216408809
433,CBX3,0,0.216323573
374,UPK3B,0,0.216067435
100,WNT2,0,0.215769275
588,ZNRF2,0,0.215301324
715,ZC3HC1,0,0.215095764
862,RNF32,0,0.214998213
101,MTERF1,0,0.214804579
814,SMO,0,0.214722025
75,ABCB1,0,0.214679631
389,EIF2AK1,0,0.214667863
786,FAM200A,0,0.21462507
293,GJC3,0,0.214599336
507,UBN2,0,0.214577289
553,BCAP29,0,0.21449756
883,COL26A1,0,0.214338843
631,PAXIP1,0,0.21414735
296,TRIM73,0,0.214090072
801,STX1A,0,0.214004697
754,ORC5,0,0.213907117
469,EXOC4,0,0.213855076
71,PAX4,0,0.213828602
748,KIAA1549,0,0.213819957
360,MTRNR2L6,0,0.21378203
272,STEAP2,0,0.213537266
739,FAM220A,0,0.213093139
216,ASB10,0,0.213002558
177,GALNT17,0,0.212792496
225,FMC1,0,0.212792496
594,PNPLA8,0,0.212742135
551,IFRD1,0,0.212480191
393,LEP,0,0.212440552
150,CPA4,0,0.212302669
117,LRRC17,0,0.212254647
581,CRCP,0,0.211918493
9,CACNA2D1,0,0.21189321
327,CTAGE15,0,0.211809337
192,MGAM2,0,0.211710223
776,GPR85,0,0.211684848
602,WDR91,0,0.211677007
438,DBNL,0,0.21141061
716,CEP41,0,0.21117651
634,ZNF394,0,0.211049476
322,UFSP1,0,0.211042422
642,ZNF277,0,0.210854412
80,PON3,0,0.210791171
848,ZCWPW1,0,0.210737045
41,GBX1,0,0.21060786
628,GIMAP6,0,0.210318009
873,ARHGEF5,0,0.210279415
736,USP42,0,0.210246157
232,VPS37D,0,0.209565977
654,CPSF4,0,0.209161967
639,SNX8,0,0.209109215
319,KPNA7,0,0.209083921
10,CALCR,0,0.209068525
638,NFE2L3,0,0.208749626
624,MIOS,0,0.208312312
675,KLHL7,0,0.208077568
589,POM121,0,0.208060293
544,BZW2,0,0.208007568
43,GHRHR,0,0.20778733
175,NEUROD6,0,0.207682209
21,CRHR2,0,0.207554607
42,GCK,0,0.207239779
204,TMEM139,0,0.207138479
868,ZP3,0,0.206796682
607,TRIM56,0,0.206725582
156,LRRN3,0,0.206587163
579,SMARCD3,0,0.206490341
104,FZD9,0,0.206379428
767,ZNF273,0,0.206295029
321,GRIFIN,0,0.206077195
870,CALN1,0,0.205772535
832,GIMAP5,0,0.205717691
217,PRSS58,0,0.205594485
608,SMURF1,0,0.205589817
733,CROT,0,0.205028921
860,GPC2,0,0.204886807
212,SSMEM1,0,0.204572909
687,FKBP9,0,0.204479427
149,MLXIPL,0,0.204371502
626,ZNF282,0,0.204281552
880,PVRIG,0,0.204111817
98,VIPR2,0,0.203933206
806,KRBA1,0,0.20388704
405,GPNMB,0,0.20386566
577,POM121C,0,0.20376168
791,ZBED6CL,0,0.203694405
476,AOAH,0,0.203631084
753,RBM48,0,0.203518294
565,C7orf50,0,0.203132756
717,IQCE,0,0.203087129
407,GUSB,0,0.202929342
38,FLNC,0,0.202867665
799,NME8,0,0.202844704
410,EIF4H,0,0.202680541
580,SEC61G,0,0.20233486
449,TRA2A,0,0.202283471
142,FSCN3,0,0.202079222
503,MDFIC,0,0.202017211
88,RARRES2,0,0.201500659
575,PILRB,0,0.201448205
474,SAMD9,0,0.201352419
258,SLC29A4,0,0.201252553
600,TMEM120A,0,0.201211664
253,FBXL13,0,0.20120167
30,DPP6,0,0.201139343
152,ACTL6B,0,0.201093944
277,ATG9B,0,0.201071436
299,LHFPL3,0,0.200470221
835,ACTR3B,0,0.200468386
446,KDELR2,0,0.200252388
72,PDE1C,0,0.200097784
337,ACTR3C,0,0.200048604
554,AVL9,0,0.199911398
268,FAM133B,0,0.19990112
28,DLX6,0,0.199529223
690,BET1,0,0.198777558
492,ANKIB1,0,0.198508181
682,THAP5,0,0.198421615
57,HOXA7,0,0.198084573
669,DNAJC2,0,0.197871126
60,HTR5A,0,0.197776447
644,ZKSCAN5,0,0.197758729
535,SLC35B4,0,0.19761591
110,FAM131B,0,0.197422949
356,TMEM225B,0,0.197234115
